ID,Gender,Archetype,Secondary,Image Type,Intensity,Context,Tags,Flat Lay Description,Contextual Props,AI Generation Prompt,
PURE ARCHETYPE IMAGES — 48 images (8 archetypes × 3 intensities × 2 genders),,,,,,,,,,,
P001,Male,Classic,—,Pure,Restrained,Neutral,"classic, pure, restrained, male","Relaxed weekend classic — soft cashmere V-neck sweater in oatmeal, well-fitted chinos in sand, brown leather belt, white cotton tee visible underneath","Folded weekend newspaper, ceramic coffee cup, linen napkin on light wood surface","Overhead flat lay photograph, men's relaxed classic weekend outfit, oatmeal cashmere V-neck sweater neatly folded, sand chinos folded beside, brown leather belt coiled, white cotton tee peeking out, arranged on light oak wood surface, folded weekend newspaper, ceramic coffee cup, linen napkin, warm natural daylight, editorial styling, soft shadows, high-end lifestyle photography, 4k, photorealistic",
P002,Male,Classic,—,Pure,Moderate,Neutral,"classic, pure, moderate, male","Polished everyday classic — navy blazer, light blue oxford shirt, charcoal wool trousers, brown leather belt, white pocket square","Leather folio, fountain pen, quality watch on marble surface","Overhead flat lay photograph, men's polished classic outfit, navy wool blazer laid flat, light blue oxford button-down shirt folded beneath, charcoal wool trousers folded neatly, brown leather belt, white linen pocket square, arranged on white marble surface, leather folio notebook, silver fountain pen, classic leather-strap watch, warm natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",
P003,Male,Classic,—,Pure,Bold,Neutral,"classic, pure, bold, male","Power classic — double-breasted charcoal suit, crisp white dress shirt, burgundy silk tie, polished oxfords implied by polish kit","Silver cufflinks, leather shoe polish kit, crystal glass on dark wood surface","Overhead flat lay photograph, men's power classic outfit, charcoal double-breasted suit jacket and matching trousers laid precisely, crisp white dress shirt, burgundy silk tie, silver cufflinks, arranged on dark walnut wood surface, leather shoe polish kit, crystal whiskey glass, polished silver tie bar, dramatic warm lighting, editorial styling, luxury fashion photography, 4k, photorealistic",
P004,Female,Classic,—,Pure,Restrained,Neutral,"classic, pure, restrained, female","Relaxed weekend classic — cream cable-knit sweater, camel wide-leg trousers, brown leather loafers, silk scarf in muted pattern","Hardcover book, reading glasses, ceramic mug on linen cloth","Overhead flat lay photograph, women's relaxed classic weekend outfit, cream cable-knit sweater neatly folded, camel wide-leg wool trousers folded beside, brown leather loafers, muted silk scarf in subtle paisley, arranged on natural linen cloth, hardcover book, tortoiseshell reading glasses, ceramic mug, warm natural daylight, editorial styling, soft shadows, high-end lifestyle photography, 4k, photorealistic",
P005,Female,Classic,—,Pure,Moderate,Neutral,"classic, pure, moderate, female","Polished everyday classic — tailored beige blazer, white silk blouse, navy pencil skirt, nude heels, pearl studs","Leather agenda, gold pen, quality watch on cream surface","Overhead flat lay photograph, women's polished classic outfit, tailored beige wool blazer laid flat, white silk blouse folded beneath, navy pencil skirt, nude pointed heels, small pearl stud earrings, arranged on cream linen surface, leather agenda planner, gold pen, delicate gold watch, warm natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",
P006,Female,Classic,—,Pure,Bold,Neutral,"classic, pure, bold, female","Power classic — structured black blazer with gold buttons, white silk shirt, high-waisted black trousers, statement gold brooch","Gold compact mirror, structured leather bag corner visible, on polished dark surface","Overhead flat lay photograph, women's power classic outfit, structured black blazer with gold buttons laid precisely, white silk shirt, high-waisted black tailored trousers, statement gold brooch, arranged on polished dark marble surface, gold compact mirror, corner of structured black leather handbag, dramatic warm lighting, editorial styling, luxury fashion photography, 4k, photorealistic",
P007,Male,Minimalist,—,Pure,Restrained,Neutral,"minimalist, pure, restrained, male","Soft minimalism — light grey cotton tee, off-white relaxed trousers, white leather sneakers","Single white ceramic cup, smooth concrete surface, one green plant leaf","Overhead flat lay photograph, men's soft minimalist outfit, light heather grey cotton tee folded precisely, off-white relaxed cotton trousers folded beside, clean white leather sneakers, arranged on smooth light concrete surface, single white ceramic cup, one small green leaf, very minimal props, soft diffused natural daylight, editorial styling, clean composition, high-end fashion photography, 4k, photorealistic",
P008,Male,Minimalist,—,Pure,Moderate,Neutral,"minimalist, pure, moderate, male","Clean minimalism — black crew-neck tee, dark grey tailored trousers, white minimalist sneakers, black leather belt","Matte black phone, single concrete object on light grey surface","Overhead flat lay photograph, men's clean minimalist outfit, black crew-neck cotton tee folded precisely, dark grey tailored trousers folded neatly, white minimalist sneakers, slim black leather belt, arranged on light grey smooth surface, matte black phone face down, single geometric concrete object, very clean sparse composition, soft even natural daylight, editorial styling, high-end fashion photography, 4k, photorealistic",
P009,Male,Minimalist,—,Pure,Bold,Neutral,"minimalist, pure, bold, male","Architectural minimalism — oversized black structured coat, all-black underneath, wide-leg black trousers, chunky sole black boots","Single black sphere, stark white surface, dramatic shadow","Overhead flat lay photograph, men's bold architectural minimalist outfit, oversized structured black wool coat laid flat, black mock-neck underneath, wide-leg black wool trousers, chunky-sole black leather boots, arranged on stark white surface, single matte black sphere, dramatic directional lighting casting sharp shadows, extremely sparse composition, editorial styling, avant-garde fashion photography, 4k, photorealistic",
