cell_id,intent,archetype,occasion,occasion_archetype,season,gender,formality,time,sample_profile_id
c_00000,occasion_recommendation,classic,daily_office,work_mode,spring,male,smart_casual,daytime,p_000_classic_male
c_00001,occasion_recommendation,classic,daily_office,work_mode,spring,female,smart_casual,daytime,p_001_classic_female
c_00002,occasion_recommendation,classic,daily_office,work_mode,summer,male,smart_casual,daytime,p_000_classic_male
c_00003,occasion_recommendation,classic,daily_office,work_mode,summer,female,smart_casual,daytime,p_001_classic_female
c_00004,occasion_recommendation,classic,daily_office,work_mode,autumn,male,smart_casual,daytime,p_000_classic_male
c_00005,occasion_recommendation,classic,daily_office,work_mode,autumn,female,smart_casual,daytime,p_001_classic_female
c_00006,occasion_recommendation,classic,daily_office,work_mode,winter,male,smart_casual,daytime,p_000_classic_male
c_00007,occasion_recommendation,classic,daily_office,work_mode,winter,female,smart_casual,daytime,p_001_classic_female
c_00008,occasion_recommendation,classic,formal_office,work_mode,spring,male,formal,daytime,p_000_classic_male
c_00009,occasion_recommendation,classic,formal_office,work_mode,spring,female,formal,daytime,p_001_classic_female
c_00010,occasion_recommendation,classic,formal_office,work_mode,summer,male,formal,daytime,p_000_classic_male
c_00011,occasion_recommendation,classic,formal_office,work_mode,summer,female,formal,daytime,p_001_classic_female
c_00012,occasion_recommendation,classic,formal_office,work_mode,autumn,male,formal,daytime,p_000_classic_male
c_00013,occasion_recommendation,classic,formal_office,work_mode,autumn,female,formal,daytime,p_001_classic_female
c_00014,occasion_recommendation,classic,formal_office,work_mode,winter,male,formal,daytime,p_000_classic_male
c_00015,occasion_recommendation,classic,formal_office,work_mode,winter,female,formal,daytime,p_001_classic_female
c_00016,occasion_recommendation,classic,business_meeting,work_mode,spring,male,formal,daytime,p_000_classic_male
c_00017,occasion_recommendation,classic,business_meeting,work_mode,spring,female,formal,daytime,p_001_classic_female
c_00018,occasion_recommendation,classic,business_meeting,work_mode,summer,male,formal,daytime,p_000_classic_male
c_00019,occasion_recommendation,classic,business_meeting,work_mode,summer,female,formal,daytime,p_001_classic_female
c_00020,occasion_recommendation,classic,business_meeting,work_mode,autumn,male,formal,daytime,p_000_classic_male
c_00021,occasion_recommendation,classic,business_meeting,work_mode,autumn,female,formal,daytime,p_001_classic_female
c_00022,occasion_recommendation,classic,business_meeting,work_mode,winter,male,formal,daytime,p_000_classic_male
c_00023,occasion_recommendation,classic,business_meeting,work_mode,winter,female,formal,daytime,p_001_classic_female
c_00024,occasion_recommendation,classic,interview,work_mode,spring,male,formal,daytime,p_000_classic_male
c_00025,occasion_recommendation,classic,interview,work_mode,spring,female,formal,daytime,p_001_classic_female
c_00026,occasion_recommendation,classic,interview,work_mode,summer,male,formal,daytime,p_000_classic_male
c_00027,occasion_recommendation,classic,interview,work_mode,summer,female,formal,daytime,p_001_classic_female
c_00028,occasion_recommendation,classic,interview,work_mode,autumn,male,formal,daytime,p_000_classic_male
c_00029,occasion_recommendation,classic,interview,work_mode,autumn,female,formal,daytime,p_001_classic_female
c_00030,occasion_recommendation,classic,interview,work_mode,winter,male,formal,daytime,p_000_classic_male
c_00031,occasion_recommendation,classic,interview,work_mode,winter,female,formal,daytime,p_001_classic_female
c_00032,occasion_recommendation,classic,workplace_event,work_mode,spring,male,smart_casual,evening,p_000_classic_male
c_00033,occasion_recommendation,classic,workplace_event,work_mode,spring,female,smart_casual,evening,p_001_classic_female
c_00034,occasion_recommendation,classic,workplace_event,work_mode,summer,male,smart_casual,evening,p_000_classic_male
c_00035,occasion_recommendation,classic,workplace_event,work_mode,summer,female,smart_casual,evening,p_001_classic_female
c_00036,occasion_recommendation,classic,workplace_event,work_mode,autumn,male,smart_casual,evening,p_000_classic_male
c_00037,occasion_recommendation,classic,workplace_event,work_mode,autumn,female,smart_casual,evening,p_001_classic_female
c_00038,occasion_recommendation,classic,workplace_event,work_mode,winter,male,smart_casual,evening,p_000_classic_male
c_00039,occasion_recommendation,classic,workplace_event,work_mode,winter,female,smart_casual,evening,p_001_classic_female
c_00040,occasion_recommendation,classic,weekend_brunch,social_casual,spring,male,casual,daytime,p_000_classic_male
c_00041,occasion_recommendation,classic,weekend_brunch,social_casual,spring,female,casual,daytime,p_001_classic_female
c_00042,occasion_recommendation,classic,weekend_brunch,social_casual,summer,male,casual,daytime,p_000_classic_male
c_00043,occasion_recommendation,classic,weekend_brunch,social_casual,summer,female,casual,daytime,p_001_classic_female
c_00044,occasion_recommendation,classic,weekend_brunch,social_casual,autumn,male,casual,daytime,p_000_classic_male
c_00045,occasion_recommendation,classic,weekend_brunch,social_casual,autumn,female,casual,daytime,p_001_classic_female
c_00046,occasion_recommendation,classic,weekend_brunch,social_casual,winter,male,casual,daytime,p_000_classic_male
c_00047,occasion_recommendation,classic,weekend_brunch,social_casual,winter,female,casual,daytime,p_001_classic_female
c_00048,occasion_recommendation,classic,casual_lunch,social_casual,spring,male,casual,daytime,p_000_classic_male
c_00049,occasion_recommendation,classic,casual_lunch,social_casual,spring,female,casual,daytime,p_001_classic_female
c_00050,occasion_recommendation,classic,casual_lunch,social_casual,summer,male,casual,daytime,p_000_classic_male
c_00051,occasion_recommendation,classic,casual_lunch,social_casual,summer,female,casual,daytime,p_001_classic_female
c_00052,occasion_recommendation,classic,casual_lunch,social_casual,autumn,male,casual,daytime,p_000_classic_male
c_00053,occasion_recommendation,classic,casual_lunch,social_casual,autumn,female,casual,daytime,p_001_classic_female
c_00054,occasion_recommendation,classic,casual_lunch,social_casual,winter,male,casual,daytime,p_000_classic_male
c_00055,occasion_recommendation,classic,casual_lunch,social_casual,winter,female,casual,daytime,p_001_classic_female
c_00056,occasion_recommendation,classic,everyday_casual,social_casual,spring,male,casual,flexible,p_000_classic_male
c_00057,occasion_recommendation,classic,everyday_casual,social_casual,spring,female,casual,flexible,p_001_classic_female
c_00058,occasion_recommendation,classic,everyday_casual,social_casual,summer,male,casual,flexible,p_000_classic_male
c_00059,occasion_recommendation,classic,everyday_casual,social_casual,summer,female,casual,flexible,p_001_classic_female
c_00060,occasion_recommendation,classic,everyday_casual,social_casual,autumn,male,casual,flexible,p_000_classic_male
c_00061,occasion_recommendation,classic,everyday_casual,social_casual,autumn,female,casual,flexible,p_001_classic_female
c_00062,occasion_recommendation,classic,everyday_casual,social_casual,winter,male,casual,flexible,p_000_classic_male
c_00063,occasion_recommendation,classic,everyday_casual,social_casual,winter,female,casual,flexible,p_001_classic_female
c_00064,occasion_recommendation,classic,coffee_meetup,social_casual,spring,male,casual,daytime,p_000_classic_male
c_00065,occasion_recommendation,classic,coffee_meetup,social_casual,spring,female,casual,daytime,p_001_classic_female
c_00066,occasion_recommendation,classic,coffee_meetup,social_casual,summer,male,casual,daytime,p_000_classic_male
c_00067,occasion_recommendation,classic,coffee_meetup,social_casual,summer,female,casual,daytime,p_001_classic_female
c_00068,occasion_recommendation,classic,coffee_meetup,social_casual,autumn,male,casual,daytime,p_000_classic_male
c_00069,occasion_recommendation,classic,coffee_meetup,social_casual,autumn,female,casual,daytime,p_001_classic_female
c_00070,occasion_recommendation,classic,coffee_meetup,social_casual,winter,male,casual,daytime,p_000_classic_male
c_00071,occasion_recommendation,classic,coffee_meetup,social_casual,winter,female,casual,daytime,p_001_classic_female
c_00072,occasion_recommendation,classic,shopping_outing,social_casual,spring,male,casual,daytime,p_000_classic_male
c_00073,occasion_recommendation,classic,shopping_outing,social_casual,spring,female,casual,daytime,p_001_classic_female
c_00074,occasion_recommendation,classic,shopping_outing,social_casual,summer,male,casual,daytime,p_000_classic_male
c_00075,occasion_recommendation,classic,shopping_outing,social_casual,summer,female,casual,daytime,p_001_classic_female
c_00076,occasion_recommendation,classic,shopping_outing,social_casual,autumn,male,casual,daytime,p_000_classic_male
c_00077,occasion_recommendation,classic,shopping_outing,social_casual,autumn,female,casual,daytime,p_001_classic_female
c_00078,occasion_recommendation,classic,shopping_outing,social_casual,winter,male,casual,daytime,p_000_classic_male
c_00079,occasion_recommendation,classic,shopping_outing,social_casual,winter,female,casual,daytime,p_001_classic_female
c_00080,occasion_recommendation,classic,cocktail_party,night_out,spring,male,semi_formal,evening,p_000_classic_male
c_00081,occasion_recommendation,classic,cocktail_party,night_out,spring,female,semi_formal,evening,p_001_classic_female
c_00082,occasion_recommendation,classic,cocktail_party,night_out,summer,male,semi_formal,evening,p_000_classic_male
c_00083,occasion_recommendation,classic,cocktail_party,night_out,summer,female,semi_formal,evening,p_001_classic_female
c_00084,occasion_recommendation,classic,cocktail_party,night_out,autumn,male,semi_formal,evening,p_000_classic_male
c_00085,occasion_recommendation,classic,cocktail_party,night_out,autumn,female,semi_formal,evening,p_001_classic_female
c_00086,occasion_recommendation,classic,cocktail_party,night_out,winter,male,semi_formal,evening,p_000_classic_male
c_00087,occasion_recommendation,classic,cocktail_party,night_out,winter,female,semi_formal,evening,p_001_classic_female
c_00088,occasion_recommendation,classic,rooftop_bar,night_out,spring,male,smart_casual,evening,p_000_classic_male
c_00089,occasion_recommendation,classic,rooftop_bar,night_out,spring,female,smart_casual,evening,p_001_classic_female
c_00090,occasion_recommendation,classic,rooftop_bar,night_out,summer,male,smart_casual,evening,p_000_classic_male
c_00091,occasion_recommendation,classic,rooftop_bar,night_out,summer,female,smart_casual,evening,p_001_classic_female
c_00092,occasion_recommendation,classic,rooftop_bar,night_out,autumn,male,smart_casual,evening,p_000_classic_male
c_00093,occasion_recommendation,classic,rooftop_bar,night_out,autumn,female,smart_casual,evening,p_001_classic_female
c_00094,occasion_recommendation,classic,club_night,night_out,spring,male,smart_casual,evening,p_000_classic_male
c_00095,occasion_recommendation,classic,club_night,night_out,spring,female,smart_casual,evening,p_001_classic_female
c_00096,occasion_recommendation,classic,club_night,night_out,summer,male,smart_casual,evening,p_000_classic_male
c_00097,occasion_recommendation,classic,club_night,night_out,summer,female,smart_casual,evening,p_001_classic_female
c_00098,occasion_recommendation,classic,club_night,night_out,autumn,male,smart_casual,evening,p_000_classic_male
c_00099,occasion_recommendation,classic,club_night,night_out,autumn,female,smart_casual,evening,p_001_classic_female
c_00100,occasion_recommendation,classic,club_night,night_out,winter,male,smart_casual,evening,p_000_classic_male
c_00101,occasion_recommendation,classic,club_night,night_out,winter,female,smart_casual,evening,p_001_classic_female
c_00102,occasion_recommendation,classic,dinner_party,night_out,spring,male,smart_casual,evening,p_000_classic_male
c_00103,occasion_recommendation,classic,dinner_party,night_out,spring,female,smart_casual,evening,p_001_classic_female
c_00104,occasion_recommendation,classic,dinner_party,night_out,summer,male,smart_casual,evening,p_000_classic_male
c_00105,occasion_recommendation,classic,dinner_party,night_out,summer,female,smart_casual,evening,p_001_classic_female
c_00106,occasion_recommendation,classic,dinner_party,night_out,autumn,male,smart_casual,evening,p_000_classic_male
c_00107,occasion_recommendation,classic,dinner_party,night_out,autumn,female,smart_casual,evening,p_001_classic_female
c_00108,occasion_recommendation,classic,dinner_party,night_out,winter,male,smart_casual,evening,p_000_classic_male
c_00109,occasion_recommendation,classic,dinner_party,night_out,winter,female,smart_casual,evening,p_001_classic_female
c_00110,occasion_recommendation,classic,gala_dinner,formal_events,spring,male,ceremonial,evening,p_000_classic_male
