,name,description,image,url,offers/price,store
0,100% Cotton Printed Lace Strap Maxi Dress,"name: 100% Cotton Printed Lace Strap Maxi Dress, brand/slogan: Opal, description:-

White-Blue Printed Maxi Dress With Lace Straps

-

Square Neckline

-

Pockets On Side With Fit & Flare Silhouette

-

Made From Eco-Friendly Cotton., detailedDescription: <article>

<p>-</p>

<p>White-Blue Printed Maxi Dress With Lace Straps</p>

<p>-</p>

<p>Square Neckline</p>

<p>-</p>

<p>Pockets On Side With Fit &amp; Flare Silhouette</p>

<p>-</p>

<p>Made From Eco-Friendly Cotton.</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/Opal_-_PDP.jpg?v=1749547525&width=1440&crop=center,https://www.virgio.com/products/ric-rac-lace-maxi-dress-with-lace-straps,2390.0,Virgio
1,Viscose Asymmetric Cut-Out Flat Knit Tank,"name: Viscose Asymmetric Cut-Out Flat Knit Tank, brand/slogan: Alwin, description:-

Bold meets minimal in this sleeveless knit top, featuring a chic high neck and asymmetric keyhole cut-out

-

The body-hugging ribbed texture adds edge perfect for a night out or layered under a blazer for instant glam, detailedDescription: <article>

<p>-</p>

<p>Bold meets minimal in this sleeveless knit top, featuring a chic high neck and asymmetric keyhole cut-out</p>

<p>-</p>

<p>The body-hugging ribbed texture adds edge perfect for a night out or layered under a blazer for instant glam</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/Copy_of_Virgio_-_3rd_July3875_copy.jpg?v=1753702240&width=1440&crop=center,https://www.virgio.com/products/flat-knits-alwin-viscose-asymmetric-cut-out-flat-knit-tank,1790.0,Virgio
2,Viscose Off White Floral Co-Ords,"name: Viscose Off White Floral Co-Ords, brand/slogan: Halsey, description:-

Off-White Gathered Co-Ord Set

-

V-Neck Top Paired With Mini Drawstring Shorts For Effortless Styling

-

Designed In A Fit-And-Flare Silhouette With A Straight Hem, Crafted From A Viscose-Nylon Blend, detailedDescription: <article>

<p>-</p>

<p>Off-White Gathered Co-Ord Set</p>

<p>-</p>

<p>V-Neck Top Paired With Mini Drawstring Shorts For Effortless Styling</p>

<p>-</p>

<p>Designed In A Fit-And-Flare Silhouette With A Straight Hem, Crafted From A Viscose-Nylon Blend</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/25_nov_virgio0809.jpg?v=1749558537&width=1440&crop=center,https://www.virgio.com/products/rose-revival-viscose-floral-co-ord-set,798.0,Virgio
3,Georgette Stretch Layered Assymetric Top,"name: Georgette Stretch Layered Assymetric Top, brand/slogan: Chicago, description:-

Asymmetric Neck Design

-

Long Bell Sleeves

-

Regular Fit

-

Rescued Polyester-Spandex Blend Fabric, detailedDescription: <article>

<p>-</p>

<p>Asymmetric Neck Design</p>

<p>-</p>

<p>Long Bell Sleeves</p>

<p>-</p>

<p>Regular Fit</p>

<p>-</p>

<p>Rescued Polyester-Spandex Blend Fabric</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/13th_NOV_2024_Virgio-1669.jpg?v=1750648003&width=1440&crop=center,https://www.virgio.com/products/work-wear-china-layered-full-sleeve-top,1790.0,Virgio
4,100% Cotton Lace Panel Maxi Top,"name: 100% Cotton Lace Panel Maxi Top, brand/slogan: Eliona Top, description:Cotton - This is pure, natural cotton that's ultra-breathable, irresistibly soft, and better with every wear. Keeps you cool in the heat, cozy in the breeze, and is responsibly sourced - A win for the planet!, detailedDescription: <article>

<p>Cotton - This is pure, natural cotton that's ultra-breathable, irresistibly soft, and better with every wear. Keeps you cool in the heat, cozy in the breeze, and is responsibly sourced - A win for the planet!</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/7_658bd1fe-2028-46a1-85c8-249b8617a8f8.jpg?v=1757145223&width=1440&crop=center,https://www.virgio.com/products/timeless-charm-eliona-top-cotton-lace-panel-maxi-top,2095.0,Virgio
5,100% Cotton Lace Neck Baby Doll Top,"name: 100% Cotton Lace Neck Baby Doll Top, brand/slogan: Imani, description:-

Square neckline with wide lace straps

-

Babydoll silhouette with gathered bust

-

Satin tie-up at neckline

-

Front button closure

-

Crafted in soft chambray with lace trim, detailedDescription: <article>

<p>-</p>

<p>Square neckline with wide lace straps</p>

<p>-</p>

<p>Babydoll silhouette with gathered bust</p>

<p>-</p>

<p>Satin tie-up at neckline</p>

<p>-</p>

<p>Front button closure</p>

<p>-</p>

<p>Crafted in soft chambray with lace trim</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/Copy_of_Virgio_-_3rd_July1792_copy.jpg?v=1753446811&width=1440&crop=center,https://www.virgio.com/products/urban-indigo-imani-cotton-lace-neck-baby-doll-top,1090.0,Virgio
6,Linen Printed Scalloped Hem Midi Dress,"name: Linen Printed Scalloped Hem Midi Dress, brand/slogan: Lisha, description:-

Pink And White Printed Strappy Scallop Hem Midi Dress

-

Features Scallop Detail At Neckline With Side Slit

-

Smocked Back Panel With Side Zipper Closure

-

Made From The Blend Of Soft And Sustainable Cotton Linen, detailedDescription: <article>

<p>-</p>

<p>Pink And White Printed Strappy Scallop Hem Midi Dress</p>

<p>-</p>

<p>Features Scallop Detail At Neckline With Side Slit</p>

<p>-</p>

<p>Smocked Back Panel With Side Zipper Closure</p>

<p>-</p>

<p>Made From The Blend Of Soft And Sustainable Cotton Linen</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/sep10virgio0431.jpg?v=1749547616&width=1440&crop=center,https://www.virgio.com/products/youth-linen-scallop-cotton-midi-dress,2190.0,Virgio
7,100% Cotton Oversized Denim Jacket,"name: 100% Cotton Oversized Denim Jacket, brand/slogan: Blaire, description:-

Shirt collar neckline

-

Long cuffed sleeves

-

Front flap pockets

-

Oversized fit for laid-back comfort

-

Contrast stitch detailing

-

Solid white woven cotton denim fabric for a stylish edge, detailedDescription: <article>

<p>-</p>

<p>Shirt collar neckline</p>

<p>-</p>

<p>Long cuffed sleeves</p>

<p>-</p>

<p>Front flap pockets</p>

<p>-</p>

<p>Oversized fit for laid-back comfort</p>

<p>-</p>

<p>Contrast stitch detailing</p>

<p>-</p>

<p>Solid white woven cotton denim fabric for a stylish edge</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/shahram_356.jpg?v=1768727426&width=1440&crop=center,https://www.virgio.com/products/winterwear-blaire-cotton-oversized-denim-jacket,3390.0,Virgio
8,100% Cotton Pleated Fit & Flare Shirt,"name: 100% Cotton Pleated Fit & Flare Shirt, brand/slogan: Alim, description:-

A pleated fit-and-flare beauty in classic white, this shirt dress moves with grace

-

The V-neckline flatters, full cuffed sleeves add poise, and its button-down front completes the timeless charm

-

Crafted in 100% Cotton, detailedDescription: <article>

<p>-</p>

<p>A pleated fit-and-flare beauty in classic white, this shirt dress moves with grace</p>

<p>-</p>

<p>The V-neckline flatters, full cuffed sleeves add poise, and its button-down front completes the timeless charm</p>

<p>-</p>

<p>Crafted in 100% Cotton</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/7094_WHITE_SHIRT-17283.jpg?v=1765360738&width=1440&crop=center,https://www.virgio.com/products/sculpted-workwear-alim-cotton-pleated-fit-flare-shirt,1190.0,Virgio
9,100% Viscose Lace Accent Overshirt,"name: 100% Viscose Lace Accent Overshirt, brand/slogan: CIA, description:-

Bishop sleeves

-

High-low hem

-

Lace insert details

-

100% viscose for fluid movement, detailedDescription: <article>

<p>-</p>

<p>Bishop sleeves</p>

<p>-</p>

<p>High-low hem</p>

<p>-</p>

<p>Lace insert details</p>

<p>-</p>

<p>100% viscose for fluid movement</p>

</article>",https://cdn.shopify.com/s/files/1/0785/1674/8585/files/5_8fae6358-6d20-446f-aa29-72bba9775ffa.jpg?v=1757147497&width=1440&crop=center,https://www.virgio.com/products/timeless-charm-cyra-viscose-lace-accent-overshirt,1790.0,Virgio
